,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
39,1.0,254,14,65,38,38,30,4,61,27,8,16,8,0.710526,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,118,0,20,16,25,0,2,0,0,0,0,2,45390,0,0,1.76,0,20
40,1.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,77803,0,0,1.7037,0,20
41,1.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,85365,0,0,1.7241400000000002,0,22
42,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,85627,0,0,1.69697,0,24
43,2.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,87594,0,0,1.65385,0,18
44,1.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,122372,0,0,1.6785700000000001,0,20
45,1.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,130510,0,0,1.7,0,22
46,2.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,132860,0,0,1.68,0,18
47,1.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,165334,0,0,1.7037,0,20
48,1.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,172896,0,0,1.7241400000000002,0,22
49,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,173158,0,0,1.69697,0,24
50,3.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,175125,0,0,1.65385,0,18
51,1.0,278,15,76,39,42,32,4,72,34,7,17,7,0.809524,0.21875,15,2.6,0,33,0.7,0.533333,31,2,12,8,8,0,128,0,18,16,27,0,2,0,0,0,0,2,175170,0,0,1.66667,0,19
52,1.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,175196,0,0,1.7307700000000001,0,20
53,2.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,209903,0,0,1.6785700000000001,0,20
54,2.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,218041,0,0,1.7,0,22
55,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,218327,0,0,1.6764700000000001,0,24
56,3.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,220391,0,0,1.68,0,18
57,1.0,275,14,75,39,41,32,4,71,34,7,17,7,0.829268,0.21875,15,2.6,0,33,0.683333,0.533333,31,2,12,8,8,0,126,0,18,15,26,0,2,0,0,0,0,2,220430,0,0,1.6923099999999998,0,19
58,1.0,265,15,69,38,39,30,4,65,30,8,17,8,0.769231,0.266667,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,124,0,20,17,27,0,2,0,0,0,0,2,220442,0,0,1.7037,0,20
59,1.0,254,14,65,38,38,30,4,61,27,8,16,8,0.710526,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,118,0,20,16,25,0,2,0,0,0,0,2,220452,0,0,1.76,0,20
