,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,maxCallDepth,minCallDepth,avgCallDepth,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
48,0,82,9,20,7,7,6,0,20,13,1,4,1,1.8571400000000002,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,45,0,15,11,15,0,3,2.0,1,0,97.0,0,127,0,0,1.6,0,10
49,0,103,9,26,9,9,8,0,26,17,1,4,1,1.8888900000000002,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,58,0,22,12,16,0,3,2.0,1,0,97.0,0,133,0,0,1.5625,0,10
50,0,85,10,21,7,7,6,0,21,14,1,4,1,2.0,0.166667,0,0.0,0,6,0.777778,0.666667,0,0,0.0,2,0,0,-1,10000000000,0,47,0,15,12,16,0,3,2.0,1,0,97.0,0,140,0,0,1.5625,0,10
51,0,106,10,27,9,9,8,0,27,18,1,4,1,2.0,0.125,0,0.0,0,6,1.0,0.8888889999999999,0,0,0.0,3,0,0,-1,10000000000,0,60,0,22,13,17,0,3,2.0,1,0,97.0,0,147,0,0,1.52941,0,10
52,0,66,9,16,7,6,6,0,16,10,1,3,1,1.66667,0.166667,0,0.0,0,6,0.666667,0.666667,0,0,0.0,1,0,0,-1,10000000000,0,33,0,8,10,15,0,3,2.0,1,0,97.0,0,153,0,0,1.5333299999999999,0,9
53,1,39,7,8,5,3,4,0,8,5,1,2,1,1.66667,0.25,0,0.0,0,6,0.333333,0.44444399999999995,0,0,0.0,0,0,0,0,0,0,16,0,1,7,12,0,3,2.0,1,0,97.0,0,157,0,0,1.25,0,4
54,0,27,3,4,5,3,4,0,4,1,1,1,1,0.333333,0.25,0,0.0,0,6,0.333333,0.44444399999999995,0,0,0.0,0,0,0,0,0,0,8,0,1,3,8,0,3,2.0,1,0,97.0,0,157,0,0,1.25,0,3
55,0,22,2,3,4,2,3,0,3,1,1,1,1,0.5,0.333333,0,0.0,0,6,0.22222199999999998,0.333333,0,0,0.0,0,0,0,0,0,0,6,0,1,2,6,0,2,2.5,1,0,102.0,0,157,0,0,1.16667,0,2
56,0,13,1,1,2,1,2,0,1,0,0,0,0,0.0,0.0,0,0.0,0,6,0.11111099999999999,0.22222199999999998,0,0,0.0,0,0,0,0,0,0,2,0,0,1,3,0,1,3.0,1,0,107.0,0,157,0,0,1.0,0,1
57,39,259,2,100,23,23,22,0,100,77,1,3,1,3.34783,0.0454545,0,0.0,0,8,0.17037,0.16296300000000002,0,0,0.0,39,19,19,-1,10000000000,19,124,0,40,3,5,0,1,1.0,1,0,1160.0,0,158,0,0,1.2,0,2
58,0,943,3,360,34,78,27,0,360,282,7,8,4,3.6153800000000005,0.259259,0,0.0,0,8,0.577778,0.2,0,0,0.0,89,19,68,-1,10000000000,435,277,257,90,5,7,0,1,1.0,1,0,1160.0,0,160,0,0,1.2857100000000001,0,3
59,960,939,3,360,31,78,27,0,360,282,4,8,4,3.6153800000000005,0.148148,0,0.0,0,8,0.577778,0.2,0,0,0.0,89,19,68,-1,10000000000,435,277,257,90,5,6,0,1,1.0,1,0,1160.0,0,162,0,0,1.33333,0,3
60,0,16,1,1,3,1,3,0,1,0,0,0,0,0.0,0.0,0,0.0,0,8,0.00740741,0.0222222,0,0,0.0,0,0,0,0,0,0,2,0,0,1,3,0,1,1.0,1,0,1160.0,0,162,0,0,1.0,0,1
61,999,717,1,266,31,49,30,0,266,217,1,9,1,4.42857,0.0333333,0,0.0,0,17,0.25654499999999997,0.157068,0,0,0.0,57,19,38,-1,10000000000,369,182,219,63,1,4,0,1,1.0,1,0,697.0,0,162,0,0,1.0,0,1
62,0,1149,2,457,42,113,34,0,457,344,8,15,7,3.04425,0.235294,0,0.0,0,17,0.591623,0.17801,0,0,0.0,117,19,98,-1,10000000000,493,357,273,118,2,6,0,2,1.0,1,0,910.5,0,162,0,0,1.16667,0,2
63,0,29,2,2,3,1,2,0,2,1,1,1,1,1.0,0.5,0,0.0,0,17,0.0052356,0.0104712,0,0,0.0,0,0,0,0,0,0,4,0,0,2,5,0,2,1.0,1,0,910.5,0,162,0,0,1.2,0,2
64,0,200,2,71,16,27,11,0,71,44,5,3,5,1.62963,0.454545,0,0.0,0,15,0.409091,0.166667,0,0,0.0,20,0,19,-1,10000000000,46,71,21,22,3,10,0,1,1.0,1,0,434.0,0,163,0,0,1.3,0,4
65,0,452,3,178,22,64,15,0,178,114,7,7,7,1.78125,0.466667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,124,169,57,53,5,16,0,1,1.0,1,0,434.0,0,165,0,0,1.375,0,7
66,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,167,0,0,1.4,0,7
67,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,169,0,0,1.4,0,7
68,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,171,0,0,1.4285700000000001,0,7
69,0,452,3,178,22,64,15,0,178,114,7,7,7,1.78125,0.466667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,124,169,57,53,5,16,0,1,1.0,1,0,434.0,0,173,0,0,1.375,0,7
70,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,175,0,0,1.4,0,7
71,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,177,0,0,1.4,0,7
72,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,179,0,0,1.4285700000000001,0,7
73,0,197,2,70,15,27,11,0,70,43,4,3,4,1.59259,0.363636,0,0.0,0,15,0.409091,0.166667,0,0,0.0,20,0,19,-1,10000000000,45,71,21,22,3,9,0,1,1.0,1,0,434.0,0,180,0,0,1.33333,0,4
74,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,182,0,0,1.4,0,7
75,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,184,0,0,1.4285700000000001,0,7
76,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,186,0,0,1.4285700000000001,0,7
